Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00025270	-47.62002563	-47.56298828	0.16036953	-16.61145210	-4.57031250	4.80957031	-4.61914062	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00025935	-47.58713531	-47.48808670	0.16036953	-16.61145210	-4.56054687	4.80957031	-4.62402344	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00026600	-47.55424118	-47.26337814	0.84298670	10.63830471	-4.58007812	4.80957031	-4.61425781	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00027265	-47.52133179	-47.56298828	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.63378906	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00027930	-47.48839951	-47.48808670	0.16036953	5.18835354	-4.56542969	4.80957031	-4.63867187	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00028595	-47.45544052	-47.41318512	0.16036953	5.18835354	-4.56542969	4.80957031	-4.63378906	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00029260	-47.42245865	-47.41318512	0.38790861	10.63830471	-4.57031250	4.80468750	-4.62402344	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00029925	-47.38945007	-47.03867340	0.04660000	-38.41125488	-4.55566406	4.80468750	-4.62890625	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00030590	-47.35641098	-47.33827972	0.16036953	-16.61145210	-4.56054687	4.80468750	-4.63867187	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00031255	-47.32333374	-47.33827972	0.04660000	5.18835354	-4.56054687	4.80957031	-4.68750000	-0.12695312	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00031920	-47.29021835	-47.41318512	0.16036953	-11.16149998	-4.56542969	4.80957031	-4.62402344	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00032585	-47.25706482	-46.96376801	0.16036953	-5.71154881	-4.56542969	4.80957031	-4.61914062	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00033250	-47.22387314	-47.03867340	-0.74978673	-0.26159766	-4.55566406	4.81445312	-4.64843750	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00033915	-47.19063568	-47.26337814	0.16036953	5.18835354	-4.56054687	4.80957031	-4.67773437	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00034580	-47.15736008	-47.33827972	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.61914062	-0.00488281	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00035245	-47.12405777	-47.18847656	0.04660000	-0.26159766	-4.56054687	4.80957031	-4.62402344	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00035910	-47.09072876	-47.11357498	0.04660000	10.63830471	-4.57031250	4.80957031	-4.62402344	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00036575	-47.05739212	-46.96376801	0.16036953	-5.71154881	-4.54589844	4.80957031	-4.61425781	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00037240	-47.02404404	-47.18847656	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.61914062	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00037905	-46.99070740	-47.18847656	-0.18093906	-49.31115723	-4.55078125	4.81445312	-4.62890625	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00038570	-46.95737457	-47.03867340	0.16036953	5.18835354	-4.56054687	4.80957031	-4.60937500	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00039235	-46.92404938	-46.88886642	0.16036953	-0.26159766	-4.55078125	4.80468750	-4.60937500	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00039900	-46.89072418	-46.88886642	0.16036953	16.08825493	-4.56054687	4.80957031	-4.61425781	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00040565	-46.85740662	-46.73906326	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.61425781	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00041230	-46.82408905	-47.26337814	-0.52224767	21.53820610	-4.55078125	4.80957031	-4.62402344	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00041895	-46.79078674	-46.81396484	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.61425781	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
